"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"136",136,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",8.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"137",137,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"138",138,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",8,"bare rock","8","36.62183N","121.90516W","","","",2014
"139",139,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",7.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"140",140,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"141",141,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"142",142,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",6.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"143",143,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"144",144,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",12.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"145",145,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"146",146,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"147",147,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",6.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"148",148,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"149",149,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"150",150,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",3.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"151",151,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",5.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"152",152,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",13,"bare rock","8","36.62183N","121.90516W","","","",2014
"153",153,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",6.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"154",154,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",6.5,"bare rock","8","36.62183N","121.90516W","","","",2014
