"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"96","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"97","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"98","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"99","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"100","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"101","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"102","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"103","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"104","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"105","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"106","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
