"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"113",113,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.6,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"114",114,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"115",115,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"116",116,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"117",117,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"118",118,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"119",119,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.1,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"120",120,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.1,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"121",121,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.3,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"122",122,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.3,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"123",123,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.4,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"124",124,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.5,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"125",125,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.6,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"126",126,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"127",127,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"128",128,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"129",129,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"130",130,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"131",131,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"132",132,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"133",133,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"134",134,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"135",135,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"136",136,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"137",137,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14.1,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"138",138,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14.1,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"139",139,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14.3,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"140",140,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14.5,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"141",141,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",15,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"142",142,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",15,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"143",143,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",15,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
