"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"149","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"150","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"151","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"152","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"153","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"154","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"155","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"156","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"157","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"158","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"159","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"160","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"161","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"162","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"163","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"164","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"165","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"166","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"167","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,20,20,NA,NA,44.2553654,-68.36960568,NA,"","",1918
